Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,modularity_class,componentnumber
socialmediajerk,socialmediajerk,,2,2,5,0.459708,0.471244,0,1,1,190,0
beingthatguy,beingthatguy,,2,2,5,0.459708,0.471244,0,1,1,190,0
lobbying,lobbying,,6,30,5,0.463102,0.473989,1.560287,0.933333,14,217,0
bribery,bribery,,5,10,5,0.462896,0.473797,0,1,10,217,0
draw,draw,,4,4,5,0.323172,0.327226,0,1,6,142,0
cartoons,cartoons,,13,24,5,0.460603,0.472292,3214.697451,0.410256,32,142,0
mechanical,mechanical,,6,12,5,0.459931,0.47154,0.633333,0.8,12,243,0
internetcensorship,internetcensorship,,1,1,5,0.459687,0.471196,0,0,0,217,0
half,half,,4,4,5,0.459911,0.471468,0,1,6,217,0
cellphones,cellphones,,8,14,5,0.461276,0.472668,16.660887,0.678571,19,217,0
technocrat,technocrat,,4,4,5,0.459748,0.47134,0,1,6,191,0
ideocracy,ideocracy,,4,4,5,0.459748,0.47134,0,1,6,191,0
groupthink,groupthink,,4,4,5,0.459748,0.47134,0,1,6,191,0
shitshow,shitshow,,4,4,5,0.459748,0.47134,0,1,6,191,0
austintx,austintx,,22,131,5,0.464321,0.475438,89.920542,0.580087,134,217,0
musicvideo,musicvideo,,17,33,5,0.464424,0.475342,3227.960038,0.566176,77,1,0
disqus,disqus,,18,72,5,0.464259,0.475262,36.666128,0.771242,118,217,0
noclue,noclue,,2,2,5,0.45985,0.471356,0,1,1,217,0
arimelber,arimelber,,1,1,5,0.334544,0.34083,0,0,0,217,0
trolling,trolling,,7,18,5,0.46146,0.472764,0.258182,0.952381,20,217,0
drain,drain,,1,1,5,0.325608,0.329919,0,0,0,217,0
laserlike,laserlike,,2,4,5,0.460073,0.471532,0,1,1,217,0
lifelog,lifelog,,109,1584,4,0.471449,0.483495,27207.422139,0.128245,741,217,0
tonystark,tonystark,,1,2,5,0.34204,0.350759,0,0,0,217,0
sucessstory,sucessstory,,4,12,5,0.460094,0.471612,0,1,6,217,0
dentists,dentists,,2,4,5,0.459728,0.47126,0,1,1,217,0
shellcompanies,shellcompanies,,1,1,5,0.459687,0.471196,0,0,0,217,0
guns,guns,,12,24,5,0.462485,0.473677,1388.072885,0.439394,29,217,0
theinternetwinsagain,theinternetwinsagain,,3,3,5,0.461317,0.47254,0,1,3,217,0
networks,networks,,2,2,5,0.45989,0.471388,0,1,1,217,0
flickr,flickr,,6,57,6,0.320546,0.324753,0,1,15,131,0
renren,renren,,13,30,5,0.46048,0.472204,1491.069486,0.717949,56,131,0
vkontakte,vkontakte,,13,66,5,0.46048,0.472204,1491.069486,0.717949,56,131,0
badoo,badoo,,17,72,5,0.461358,0.473021,1644.06919,0.544118,74,131,0
internetspeak,internetspeak,,2,2,5,0.462218,0.473173,0,1,1,217,0
slave,slave,,6,6,5,0.317602,0.321573,0,1,15,45,0
soumis,soumis,,6,6,5,0.317602,0.321573,0,1,15,45,0
parisienne,parisienne,,6,6,5,0.317602,0.321573,0,1,15,45,0
goddess,goddess,,9,9,5,0.460073,0.471756,7068.052306,0.583333,21,45,0
queen,queen,,8,8,5,0.459951,0.471628,7049.800118,0.678571,19,45,0
students,students,,13,26,5,0.336653,0.343673,2141.051037,0.384615,30,243,0
privacywasviolated,privacywasviolated,,5,18,5,0.460012,0.47158,0,1,10,131,0
coinsale,coinsale,,3,3,5,0.320407,0.324266,0,1,3,262,0
alerts,alerts,,6,6,5,0.460358,0.471884,0,1,15,217,0
wwg1wgaa,wwg1wgaa,,2,406,5,0.460541,0.471884,0,1,1,217,0
controller,controller,,4,5,5,0.461624,0.47278,0,1,6,217,0
rankchecker,rankchecker,,4,4,5,0.460195,0.471684,0,1,6,262,0
speechless,speechless,,3,3,5,0.459728,0.471292,0,1,3,192,0
bebetter,bebetter,,3,3,5,0.459728,0.471292,0,1,3,192,0
disappointment,disappointment,,3,3,5,0.459728,0.471292,0,1,3,192,0
wholesale,wholesale,,6,20,6,0.317283,0.321436,0,1,15,143,0
victoriassecret,victoriassecret,,6,20,6,0.317283,0.321436,0,1,15,143,0
perfumes,perfumes,,6,20,6,0.317283,0.321436,0,1,15,143,0
purses,purses,,6,16,6,0.317283,0.321436,0,1,15,143,0
onsalenow,onsalenow,,6,16,6,0.317283,0.321436,0,1,15,143,0
khloe,khloe,,5,5,5,0.459789,0.471404,0,1,10,41,0
kuwtk,kuwtk,,5,5,5,0.459789,0.471404,0,1,10,41,0
macs,macs,,4,4,5,0.461296,0.472524,0,1,6,217,0
dailymail,dailymail,,4,4,5,0.460155,0.471644,0,1,6,217,0
chiefexecutive,chiefexecutive,,3,3,5,0.460908,0.47222,0,1,3,217,0
tube,tube,,11,12,4,0.46101,0.472529,15.698746,0.836364,46,131,0
bar,bar,,2,2,5,0.459708,0.471244,0,1,1,131,0
sweetnothings,sweetnothings,,3,3,5,0.460704,0.47206,0,1,3,217,0
investigation,investigation,,10,14,5,0.460317,0.47198,3822.271732,0.666667,30,131,0
bigger,bigger,,11,12,5,0.460623,0.472252,56.754856,0.618182,34,131,0
fish,fish,,8,8,5,0.459951,0.471628,0,1,28,131,0
fry,fry,,8,8,5,0.459951,0.471628,0,1,28,131,0
gang,gang,,8,8,5,0.459951,0.471628,0,1,28,131,0
loose,loose,,8,8,5,0.459951,0.471628,0,1,28,131,0
classactionsuit,classactionsuit,,4,20,5,0.462341,0.473333,0,1,6,217,0
followthewhiterabbit,followthewhiterabbit,,17,118,5,0.464922,0.47571,1081.177619,0.580882,79,217,0
kimmel,kimmel,,4,16,5,0.45983,0.471404,0,1,6,142,0
guest,guest,,2,4,5,0.459708,0.471244,0,1,1,217,0
columnist,columnist,,2,6,5,0.459708,0.471244,0,1,1,217,0
techcolumnist,techcolumnist,,3,3,5,0.459728,0.471292,0,1,3,217,0
brianchen,brianchen,,3,3,5,0.459728,0.471292,0,1,3,217,0
passiveincome,passiveincome,,9,25,5,0.460216,0.471868,13.13057,0.555556,20,142,0
residualincome,residualincome,,5,5,5,0.459951,0.471532,0,1,10,262,0
income,income,,5,5,5,0.459951,0.471532,0,1,10,262,0
usnavy,usnavy,,16,62,5,0.32773,0.332338,16.098002,0.816667,98,45,0
usmarines,usmarines,,16,62,5,0.32773,0.332338,16.098002,0.816667,98,45,0
portland,portland,,10,20,5,0.32739,0.331673,0,1,45,45,0
felizmiércoles,felizmiércoles,,1,1,5,0.459687,0.471196,0,0,0,217,0
gungrabber,gungrabber,,2,2,1,1,1,0,1,1,264,35
antifreespeech,antifreespeech,,2,2,1,1,1,0,1,1,264,35
openborders,openborders,,2,2,1,1,1,0,1,1,264,35
beast,beast,,8,9,5,0.463866,0.474645,123.21931,0.678571,19,217,0
bible,bible,,5,6,5,0.46228,0.473317,27.817532,0.7,7,142,0
unitedstatessenate,unitedstatessenate,,3,4,5,0.460888,0.472204,0,1,3,217,0
